number	phenotype	tag	P_value	Effect	test_type
1	alopecia_areata	autoimmune	0.7321559	0.860712	binary
2	ankylosing_spondylitis	autoimmune	0.1941433	0.449732	binary
3	antiphospholipid_syndrome	autoimmune	0.6662057	1.37989	binary
4	autoimmune_hepatitis	autoimmune	0.6192698	1.719912	binary
5	celiac_HLA_all	autoimmune	0.9013918	0.950614	binary
6	crohns	autoimmune	0.5823979	0.788777	binary
7	crohns_or_ulcerative_colitis	autoimmune	0.6250402	1.130103	binary
8	giant_cell_arteritis	autoimmune	0.281275	3.720769	binary
9	HIP_alopecia_type_universalis	autoimmune	0.2727244	0.016459	binary
10	iqb.canker_sore	autoimmune	0.3882798	1.143655	binary
11	iqb.canker_sore_pastyear	autoimmune	0.5576826	0.905399	binary
12	juvenile_t1d	autoimmune	0.07123907	0.019281	binary
13	lupus	autoimmune	0.04462783	0.376179	binary
14	multiple_sclerosis	autoimmune	0.6935438	0.802653	binary
15	pediatric_ibd	autoimmune	0.3156266	1.732301	binary
16	polymyalgia_rheumatica	autoimmune	0.7243088	0.715717	binary
17	psoriasis	autoimmune	0.5609347	1.109255	binary
18	psoriatic_arthritis	autoimmune	0.5788818	1.338863	binary
19	rheumatoid_arthritis	autoimmune	0.3866932	1.204599	binary
20	sarcoidosis	autoimmune	0.2524224	2.550634	binary
21	scleroderma	autoimmune	0.1474232	0.010794	binary
22	sjogrens_syndrome	autoimmune	0.6705897	0.813331	binary
23	t1d	autoimmune	0.1642117	0.42853	binary
24	ulcerative_colitis	autoimmune	0.2425451	1.394198	binary
25	vitiligo	autoimmune	0.331678	1.410422	binary
26	anemia	blood	0.6501643	0.950502	binary
27	blood_clots	blood	0.4737674	1.169185	binary
28	blood_thinner_meds	blood	0.8893435	1.033873	binary
29	deep_vein_thrombosis	blood	0.2478924	1.374647	binary
30	HIP_anemia_cause_deficiency	blood	0.8822637	0.979357	binary
31	HIP_anemia_cause_hormonal	blood	0.6779971	0.856956	binary
32	hypocoagulation	blood	0.1819834	0.441262	binary
33	iqb.bruise_easily	blood	0.6380355	1.07773	binary
34	iqb.nose_bleeds	blood	0.7680701	1.094101	binary
35	iqb.rhesus_blood_type	blood	0.9843987	1.005281	binary
36	pulmonary_embolism	blood	0.2859458	1.499786	binary
37	any_non_melanoma_skin_cancer	cancer	0.1735969	0.824131	binary
38	any_skin_cancer	cancer	0.1029859	0.806616	binary
39	barretts_esophagus	cancer	0.9933319	0.997022	binary
40	basal_cell_carcinoma	cancer	0.9928949	1.001353	binary
41	bladder_cancer	cancer	0.4944661	0.539311	binary
42	bladder_cancer_dx_or_fh	cancer	0.09482468	1.796519	binary
43	bladder_cancer_fh	cancer	0.01661122	2.578469	binary
44	brain_cancer	cancer	0.314173	0.021129	binary
45	brain_cancer_dx_or_fh	cancer	0.6105613	1.241775	binary
46	brain_cancer_fh	cancer	0.3805164	1.475622	binary
47	breast_cancer_dx_or_fh	cancer	0.8836922	0.972674	binary
48	breast_cancer_fh	cancer	0.5978225	1.136258	binary
49	chemotherapy_meds	cancer	0.02252485	0.333679	binary
50	colon_polyps	cancer	0.8044919	1.03021	binary
51	colorectal_cancer	cancer	0.1754908	0.32918	binary
52	colorectal_cancer_dx_or_fh	cancer	0.5827007	0.854633	binary
53	colorectal_cancer_fh	cancer	0.9265802	1.029846	binary
54	head_and_neck_cancer	cancer	0.9566542	0.947454	binary
55	HIP_non_osseous_sarcoma	cancer	0.9651204	0.957463	binary
56	HIP_osseous_sarcoma	cancer	0.4050774	0.028705	binary
57	hodgkins_lymphoma_dx_or_fh	cancer	0.5155057	0.555638	binary
58	hodgkins_lymphoma_fh	cancer	0.9877094	0.98469	binary
59	iqb.dysplastic_mole	cancer	0.5167739	1.161776	binary
60	iqb.lipoma	cancer	0.9886172	0.996458	binary
61	iqb.radiation_therapy	cancer	0.6566276	0.801963	binary
62	jak2_v617f_cc	cancer	0.09205028	2.374217	binary
63	kidney_cancer	cancer	0.7909413	1.214259	binary
64	leukemia	cancer	0.08739097	0.00798	binary
65	leukemia_dx_or_fh	cancer	0.1131825	0.387543	binary
66	leukemia_fh	cancer	0.3718776	0.561139	binary
67	lung_cancer	cancer	0.1045948	0.009868	binary
68	lung_cancer_dx_or_fh	cancer	0.4042149	0.79704	binary
69	lung_cancer_fh	cancer	0.7216565	0.901058	binary
70	melanoma	cancer	0.332488	0.753134	binary
71	melanoma_dx_or_fh	cancer	0.7623411	0.933898	binary
72	melanoma_fh	cancer	0.2738256	1.461663	binary
73	mpn_narrow	cancer	0.2482382	0.017071	binary
74	mpn_or_v617f	cancer	0.2114982	1.855928	binary
75	non_hodgkins_lymphoma	cancer	0.4327092	0.498741	binary
76	non_hodgkins_lymphoma_dx_or_fh	cancer	0.1272495	0.399312	binary
77	ovarian_cancer_dx_or_fh	cancer	0.6466076	1.197791	binary
78	ovarian_cancer_fh	cancer	0.4284402	1.416822	binary
79	pancreatic_cancer_dx_or_fh	cancer	0.06789329	0.244774	binary
80	pancreatic_cancer_fh	cancer	0.0968927	0.268243	binary
81	prostate_cancer_dx_or_fh	cancer	0.5270348	0.857679	binary
82	prostate_cancer_fh	cancer	0.4582215	0.788951	binary
83	squamous_cell_carcinoma	cancer	0.2252568	0.766411	binary
84	stomach_cancer_dx_or_fh	cancer	0.7920188	1.169837	binary
85	stomach_cancer_fh	cancer	0.6012239	1.37968	binary
86	thyroid_cancer	cancer	0.6280453	1.288334	binary
87	thyroid_cancer_dx_or_fh	cancer	0.9082914	1.048793	binary
88	thyroid_cancer_fh	cancer	0.7012039	0.769788	binary
89	angina	cardiovascular	0.4091105	0.581087	binary
90	any_cvd	cardiovascular	0.2499246	1.104338	binary
91	aortic_aneurysm	cardiovascular	0.2891464	0.403781	binary
92	aortic_stenosis	cardiovascular	0.8228966	1.177442	binary
93	arrhythmia	cardiovascular	0.7844112	1.037576	binary
94	atrial_fibrillation	cardiovascular	0.1267531	1.379369	binary
95	blood_pressure_meds	cardiovascular	0.2457549	0.771262	binary
96	brain_aneurysm	cardiovascular	0.1063281	0.022251	binary
97	cad	cardiovascular	0.7469969	1.080588	binary
98	cardiomyopathy_dilated	cardiovascular	0.3601352	2.067884	binary
99	cardiomyopathy_hypertrophic	cardiovascular	0.05836922	0.017518	binary
100	carotid_artery_dis	cardiovascular	0.9286369	0.9602	binary
101	congenital_heart_defect	cardiovascular	0.2415535	0.759871	binary
102	early_onset_heart_attack	cardiovascular	0.9610544	1.022295	binary
103	heart_attack	cardiovascular	0.6493693	1.132437	binary
104	heart_failure	cardiovascular	0.4129278	1.301086	binary
105	hemorrhagic_stroke	cardiovascular	0.5421804	1.593024	binary
106	high_blood_pressure	cardiovascular	0.1750481	1.130096	binary
107	HIP_arrhythmia_type_bradycardia	cardiovascular	0.8475961	0.829902	binary
108	HIP_arrhythmia_type_ventricular_fibrillation	cardiovascular	0.3623045	2.06115	binary
109	HIP_arrhythmia_type_ventricular_tachycardia	cardiovascular	0.223238	1.594475	binary
110	iqb.avoid_exercise_faint	cardiovascular	0.6837408	1.157734	binary
111	iqb.chest_pain_exercise	cardiovascular	0.000878367	0.420867	binary
