variable	N	N_missing	mean	median	sd
tgmgdl	10128	375	212.729139346367	179	129.584585352542
glucosemgdl	10062	441	150.96972371298	122	82.6345907634344
hba1c	7723	2780	7.10971384177133	6.4	2.05752592519897
Lp_activ	7050	3453	261.372056737589	262	68.4230662977454
apoa1	7077	3426	107.592482690406	107	24.5156637093765
apob	7076	3427	86.4689089881289	85	25.7720002006653
lpa	7076	3427	45.4644219898248	27.2	51.550964855075
apoc3	7011	3492	11.2242333475966	10.3	5.80555145009433
nefa	7080	3423	0.789896892655367	0.48	1.06125167810159
apoe	7081	3422	4.51816127665584	4.2	1.79688955436786
apoa2	7075	3428	31.5662897526502	32	6.61634325257594
Lp_mass	6480	4023	284.835956790123	280	96.7306472814398
bdnf_con1	2809	7694	24.5571199715201	24	8.65543666739794
cd40_con1_log	2809	7694	0.127437831740833	0.09531018	0.4071733533125
cd40l_con2_log	2774	7729	-0.418057230800288	-0.21072103	1.00337286802918
cga_con2_log	2729	7774	4.90466571564676	5.1532916	1.26431476853742
eotaxin1_con2_log	2764	7739	5.40685335839363	5.42495	0.477260430735337
factorvii_con1	2809	7694	372.593449626202	365	119.464465206629
gcsf_con2_log	2276	8227	2.35248844420035	2.2925348	0.437559316598578
igfi_con2_log	2489	8014	3.95538388039373	3.9318256	0.872777840175175
icam1_con1_log	2802	7701	5.200141151606	5.2149358	0.404194442701631
il8_con2_log	2739	7764	3.33526469897773	3.0445224	1.10982152330014
il10_con2_log	934	9569	2.0037320512848	1.856298	0.452400704929854
il18_con1_log	2809	7694	5.61093345382699	5.6347896	0.527195446562289
lox1_con2_log	1635	8868	1.29964876816514	1.1631508	0.55647130432715
mip1alpha_con2_log	1182	9321	4.07757207834179	3.9512437	0.48236850497985
mip1beta_con1_log	2809	7694	6.01242956333215	5.9080829	0.780377191471606
mmp3_con2_log	2769	7734	3.09056222684001	3.0910425	0.608270002668217
mcp1_con1_log	2809	7694	5.91790105325739	5.8777358	0.763184003499633
mpo_con2_log	1806	8697	7.25136116899225	7.2793188	0.875050976368322
ntprobnp_con2_log	1567	8936	6.06299438978941	5.8971539	0.863377386040863
nrcam_con2_log	2668	7835	0.164777897871064	0.09531018	0.531705855514691
pappa_con2_log	966	9537	-4.30667546335404	-4.4228486	0.359236540361569
rage_con2_log	2799	7704	0.871613002901036	0.91629073	0.69746378799157
sortilin_con1_log	2809	7694	1.98806612660377	1.9878743	0.366525303784391
scf_con2_log	2734	7769	5.51208159718361	5.5254529	0.339123017681534
sod1_con1_log	2809	7694	3.05585885835173	2.9957323	0.582320453036117
tm_con1_log	2808	7695	1.65422837053775	1.6486586	0.321350063983768
adiponectin	6210	4293	14.7671127214171	12.52	9.29695063873688
apoav	6044	4459	141.401541960953	116.6095	108.458455782433
cxcl12_corrected	5648	4855	2323.22609348442	2284.8065	534.553649822695
cysc_2	3430	7073	1.00038921282799	0.965	0.408110829231233
ANGPTL3	5746	4757	341.464648459798	324.5925	133.522888940938
ANGPTL4	4936	5567	177.28884350628	141.2495	119.743161994277
Eselectin	4524	5979	50.1993170893015	45.347	25.131660525305
Pselectin	3774	6729	118.84960136089	104.768	68.6917109534402
FGF21	4885	5618	512.422704118956	369.762	481.098789291015
MMP9	4874	5629	696.357871703324	580.94	442.491215530666
ICAM1	3710	6793	299.221798501348	279.9845	111.043032514509
VCAM1	3686	6817	882.332289229517	808.243	379.542254736994
insulinmul	4939	5564	25.3399322735372	15.449	27.8634086858331
hdl_3_2aim	4459	6044	4249.75575274725	3520	3782.26600712928
hdl_2bim	4459	6044	1239.19028773268	1004.475	906.887049943513
mid_zone_im	4459	6044	262.319616840099	240.7655	171.723981021984
ldl_ivcim	4459	6044	32.7969726396053	28.385	28.6335965355509
ldl_ivbim	4459	6044	65.1399842991702	56.346	42.2774036979664
ldl_ivaim	4459	6044	71.7524604238618	62.528	43.7273224878813
ldl_iiibim	4459	6044	67.4719444920386	51.536	50.7721735258908
ldl_iiiaim	4459	6044	203.091254657995	155.677	144.454652623754
ldl_iibim	4459	6044	235.944774164611	210.846	134.80194166895
ldl_iiaim	4459	6044	203.813293222696	186.274	111.385876863698
ldl_iim	4459	6044	248.732097889661	220.977	152.616397629525
idl_2im	4459	6044	125.666881365777	111.35	79.1791526862416
idl_1im	4459	6044	152.17009531285	143.928	68.1403384217934
vldl_smim	4459	6044	62.0393209284593	58.474	27.7943051761753
vldl_intim	4459	6044	48.4497880713164	45.793	22.02365294043
vldl_lgim	4459	6044	14.7800828658892	13.635	7.57798789302659
ldl_peak_diamim	4459	6044	219.794916685355	220.045	6.20375781183904
oxplapob	4228	6275	7406.50792336802	6890.25	3367.47263542196
nanompc	4228	6275	9.0904635743614	8.17	4.40543875078159
igmimmunecomplexes	4228	6275	2171.56090350047	1678	2395.72221706639
pcbsaigmantibodies	4228	6275	14551.3487464522	12038	10118.3229983139
mdaldligmantibodies	4228	6275	16548.3267502365	15004.5	8535.13234158228
cfhbindingtomdaldl	4228	6275	54677.8029801325	55270	10498.5220206025
