Coding	Meaning	Primary_group	Secondary_group
1065	hypertension	Cardiovascular	
1066	heart/cardiac problem	Cardiovascular	
1067	peripheral vascular disease	Cardiovascular	
1068	venous thromboembolic disease	Haematological	
1072	essential hypertension	Cardiovascular	
1073	gestational hypertension/pre-eclampsia	Other	
1074	angina	Cardiovascular	
1075	heart attack/myocardial infarction	Cardiovascular	
1076	heart failure/pulmonary odema	Cardiovascular	
1077	heart arrhythmia	Cardiovascular	
1078	heart valve problem/heart murmur	Cardiovascular	
1079	cardiomyopathy	Cardiovascular	
1080	pericardial problem	Cardiovascular	
1081	stroke	Cardiovascular	
1082	transient ischaemic attack (tia)	Cardiovascular	
1083	subdural haemorrhage/haematoma	Cardiovascular	
1086	subarachnoid haemorrhage	Cardiovascular	
1087	leg claudication/ intermittent claudication	Cardiovascular	
1088	arterial embolism	Cardiovascular	
1093	pulmonary embolism +/- dvt	Haematological	
1094	deep venous thrombosis (dvt)	Haematological	
1111	asthma	Respiratory	Airway
1112	chronic obstructive airways disease/copd	Respiratory	Airway
1113	emphysema/chronic bronchitis	Respiratory	Airway
1114	bronchiectasis	Respiratory	Airway
1115	interstitial lung disease	Respiratory	Interstitial
1117	other respiratory problems	Respiratory	
1120	asbestosis	exclude	
1121	pulmonary fibrosis	Respiratory	Interstitial
1122	fibrosing alveolitis/unspecified alveolitis	Respiratory	Interstitial
1123	sleep apnoea	Respiratory	Otolaryngological
1124	respiratory failure	Respiratory	
1125	pleurisy	Respiratory	Pleural
1126	spontaneous pneumothorax/recurrent pneumothorax	Respiratory	Pleural
1134	oesophageal disorder	Gastrointestinal	
1135	stomach disorder	Gastrointestinal	
1136	liver/biliary/pancreas problem	Gastrointestinal	
1137	other abdominal problem	Gastrointestinal	
1138	gastro-oesophageal reflux (gord) / gastric reflux	Gastrointestinal	
1139	oesophagitis/barretts oesophagus	Gastrointestinal	
1140	oesophageal stricture	Gastrointestinal	
1141	oesophageal varicies	Gastrointestinal	
1142	gastric/stomach ulcers	Gastrointestinal	
1143	gastritis/gastric erosions	Gastrointestinal	
1154	irritable bowel syndrome	Gastrointestinal	
1155	hepatitis	Gastrointestinal	Hepatobiliary
1156	infective/viral hepatitis	exclude	
1157	non-infective hepatitis	Gastrointestinal	Hepatobiliary
1158	liver failure/cirrhosis	Gastrointestinal	Hepatobiliary
1159	bile duct disease	Gastrointestinal	Hepatobiliary
1160	bile duct obstruction/ascending cholangitis	Gastrointestinal	Hepatobiliary
1161	gall bladder disease	Gastrointestinal	Hepatobiliary
1162	cholelithiasis/gall stones	Gastrointestinal	Hepatobiliary
1163	cholecystitis	Gastrointestinal	Hepatobiliary
1164	pancreatic disease	Gastrointestinal	
1165	pancreatitis	Gastrointestinal	
1190	peritonitis	Gastrointestinal	
1191	gastrointestinal bleeding	Gastrointestinal	
1192	renal/kidney failure	Renal	
1193	renal failure requiring dialysis	Renal	
1194	renal failure not requiring dialysis	Renal	
1196	urinary tract infection/kidney infection	Urological	
1197	kidney stone/ureter stone/bladder stone	Urological	
1200	ureteric obstruction/hydronephrosis	Urological	
1201	bladder problem (not cancer)	Urological	
1202	urinary frequency / incontinence	Urological	
1207	prostate problem (not cancer)	Urological	
1210	scrotal problem (not cancer)	Urological	
1214	testicular problems (not cancer)	Urological	
1220	diabetes	Endocrine	
1221	gestational diabetes	Other	
1222	type 1 diabetes	Endocrine	
1223	type 2 diabetes	Endocrine	
1224	thyroid problem (not cancer)	Endocrine	
1225	hyperthyroidism/thyrotoxicosis	Endocrine	
1226	hypothyroidism/myxoedema	Endocrine	
1228	thyroid radioablation therapy	Endocrine	
1229	parathyroid gland problem (not cancer)	Endocrine	
1230	parathyroid hyperplasia/adenoma	exclude	
1232	disorder of adrenal gland	Endocrine	
1233	adrenal tumour	exclude	
1234	adrenocortical insufficiency/addison's disease	Endocrine	
1235	hyperaldosteronism/conn's syndrome	Endocrine	
1236	phaeochromocytoma	exclude	
1237	disorder or pituitary gland	Endocrine	
1238	pituitary adenoma/tumour	exclude	
1239	cushings syndrome	Endocrine	
1240	neurological injury/trauma	exclude	
1242	eye/eyelid problem	Opthalmological	
1243	psychological/psychiatric problem	exclude	
1244	infection of nervous system	exclude	
1245	brain abscess/intracranial abscess	exclude	
1246	encephalitis	Neurological	
1247	meningitis	exclude	
1248	spinal abscess	exclude	
1249	cranial nerve problem/palsy	Neurological	
1250	bell's palsy/facial nerve palsy	Neurological	
1251	spinal cord disorder	Neurological	
1252	paraplegia	Neurological	
1254	peripheral nerve disorder	Neurological	
1255	peripheral neuropathy	Neurological	
1256	acute infective polyneuritis/guillain-barre syndrome	Neurological	Autoimmune
1257	trapped nerve/compressed nerve	Other	
1258	chronic/degenerative neurological problem	Neurological	
1259	motor neurone disease	Neurological	
1260	myasthenia gravis	Neurological	Autoimmune
1261	multiple sclerosis	Neurological	
1262	parkinsons disease	Neurological	
1263	dementia/alzheimers/cognitive impairment	Neurological	
1264	epilepsy	Neurological	
1265	migraine	Neurological	
1266	head injury	exclude	
1267	spinal injury	exclude	
1274	eye infection	exclude	
1275	retinal problem	Opthalmological	
1276	diabetic eye disease	Endocrine	Opthalmological
1277	glaucoma	Opthalmological	
1278	cataract	Opthalmological	
1279	eye trauma	exclude	
1281	retinal detachment	Opthalmological	
1282	retinal artery/vein occlusion	Cardiovascular	
1286	depression	exclude	
1287	anxiety/panic attacks	exclude	
1288	nervous breakdown	exclude	
1289	schizophrenia	exclude	
1290	deliberate self-harm/suicide attempt	exclude	
1291	mania/bipolar disorder/manic depression	exclude	
1293	bone disorder	Rheumatological	
1294	back problem	Rheumatological	
1295	joint disorder	Rheumatological	
1297	muscle/soft tissue problem	Rheumatological	
1308	osteomyelitis	exclude	
1309	osteoporosis	Rheumatological	
1310	paget's disease	Rheumatological	
1311	spine arthritis/spondylitis	Rheumatological	
1312	prolapsed disc/slipped disc	Rheumatological	
1313	ankylosing spondylitis	Rheumatological	Autoimmune
1322	myositis/myopathy	Rheumatological	
1327	low platelets/platelet disorder	Haematological	
1328	haemophilia	Haematological	
1330	iron deficiency anaemia	Haematological	
1331	pernicious anaemia	Gastrointestinal	Autoimmune
1332	aplastic anaemia	Haematological	
1339	sickle cell disease	Haematological	
1340	thalassaemia	Haematological	
1344	stevens johnson syndrome	Dermatological	
1345	pemphigoid/pemphigus	Dermatological	
1348	gynaecological disorder (not cancer)	Gynaecological	
1349	ovarian cyst or cysts	Gynaecological	
1350	polycystic ovaries/polycystic ovarian syndrome	Gynaecological	
1351	uterine fibroids	Gynaecological	
1352	uterine polyps	Gynaecological	
1353	vaginal prolapse/uterine prolapse	Gynaecological	
1364	breast disease (not cancer)	Gynaecological	
1366	fibrocystic disease	Gynaecological	
1367	breast cysts	Gynaecological	
1371	sarcoidosis	Other	
1372	vasculitis	Rheumatological	Autoimmune
1373	connective tissue disorder	Rheumatological	Autoimmune
1374	allergy/hypersensitivity/anaphylaxis	Allergy	
1376	giant cell/temporal arteritis	Rheumatological	
1377	polymyalgia rheumatica	Rheumatological	Autoimmune
1378	wegners granulmatosis	Rheumatological	Autoimmune
1379	microscopic polyarteritis	Rheumatological	Autoimmune
1380	polyartertis nodosa	Rheumatological	Autoimmune
1381	systemic lupus erythematosis/sle	Rheumatological	Autoimmune
1382	sjogren's syndrome/sicca syndrome	Rheumatological	Autoimmune
1383	dermatopolymyositis	Rheumatological	
1384	scleroderma/systemic sclerosis	Rheumatological	Autoimmune
1385	allergy or anaphylactic reaction to food	Allergy	
1386	allergy or anaphylactic reaction to drug	Allergy	
1387	hayfever/allergic rhinitis	Otolaryngological	Allergy
1394	peripheral nerve injury	exclude	
1396	enlarged prostate	Urological	
1397	other demyelinating disease (not multiple sclerosis)	Neurological	
1398	pneumonia	exclude	
1400	peptic ulcer	Gastrointestinal	
1402	endometriosis	Gynaecological	
1403	female infertility	Gynaecological	
1404	male infertility	Urological	
1405	other renal/kidney problem	Renal	
1406	muscle or soft tissue injuries	exclude	
1407	burns	exclude	
1408	alcohol dependency	exclude	
1409	opioid dependency	exclude	
1410	other substance abuse/dependency	exclude	
1411	lung abscess	exclude	
1412	bronchitis	Respiratory	Airway
1413	nasal/sinus disorder	Otolaryngological	
1414	throat or larynx disorder	Otolaryngological	
1415	ear/vestibular disorder	Otolaryngological	
1416	chronic sinusitis	Otolaryngological	
1417	nasal polyps	Otolaryngological	
1418	chronic laryngitis	Otolaryngological	
1419	vocal cord polyp	Otolaryngological	
1420	otosclerosis	Otolaryngological	
1421	meniere's disease	Otolaryngological	
1425	cerebral aneurysm	Cardiovascular	
1426	myocarditis	Cardiovascular	
1427	polycystic kidney	Renal	
1428	thyroiditis	Endocrine	
1429	acromegaly	Endocrine	
1430	hypopituitarism	Endocrine	
1431	hyperprolactinaemia	Endocrine	
1432	carcinoid syndrome/tumour	exclude	
1433	cerebral palsy	Neurological	
1434	other neurological problem	Neurological	
1435	optic neuritis	Neurological	
1436	headaches (not migraine)	exclude	
1437	myasthenia gravis	Neurological	Autoimmune
1438	polycythaemia vera	Haematological	
1439	hiv/aids	exclude	
1440	tuberculosis (tb)	exclude	
1441	malaria	exclude	
