Cohort	age_bin	Count	Total
Entire_cohort	<30	5069	96703
Entire_cohort	30-34	4046	96703
Entire_cohort	35-39	5209	96703
Entire_cohort	40-44	9410	96703
Entire_cohort	45-49	11718	96703
Entire_cohort	50-54	14359	96703
Entire_cohort	55-59	13187	96703
Entire_cohort	60-64	11535	96703
Entire_cohort	65-69	9522	96703
Entire_cohort	70-74	6353	96703
Entire_cohort	75-79	3823	96703
Entire_cohort	80+	2472	96703
LRRK2_carriers	<30	14	190
LRRK2_carriers	30-34	6	190
LRRK2_carriers	35-39	14	190
LRRK2_carriers	40-44	24	190
LRRK2_carriers	45-49	29	190
LRRK2_carriers	50-54	21	190
LRRK2_carriers	55-59	20	190
LRRK2_carriers	60-64	22	190
LRRK2_carriers	65-69	18	190
LRRK2_carriers	70-74	10	190
LRRK2_carriers	75-79	4	190
LRRK2_carriers	80+	8	190
