age	data_type
33	genomes
31	genomes
26	genomes
26	genomes
33	genomes
23	genomes
29	genomes
30	genomes
29	genomes
33	genomes
24	genomes
33	genomes
30	genomes
33	genomes
22	genomes
32	genomes
19	genomes
22	genomes
14	genomes
33	genomes
22	genomes
9	genomes
18	genomes
12	genomes
31	genomes
18	genomes
14	genomes
18	genomes
18	genomes
19	genomes
14	genomes
20	genomes
32	genomes
21	genomes
32	genomes
18	genomes
16	genomes
22	genomes
17	genomes
11	genomes
23	genomes
28	genomes
26	genomes
30	genomes
22	genomes
17	genomes
21	genomes
23	genomes
15	genomes
14	genomes
10	genomes
16	genomes
99	genomes
18	genomes
23	genomes
24	genomes
20	genomes
20	genomes
20	genomes
16	genomes
29	genomes
30	genomes
14	genomes
23	genomes
31	genomes
29	genomes
21	genomes
19	genomes
24	genomes
18	genomes
20	genomes
31	genomes
20	genomes
17	genomes
29	genomes
25	genomes
17	genomes
31	genomes
29	genomes
21	genomes
12	genomes
19	genomes
25	genomes
19	genomes
33	genomes
11	genomes
13	genomes
29	genomes
19	genomes
16	genomes
27	genomes
22	genomes
26	genomes
27	genomes
23	genomes
15	genomes
22	genomes
17	genomes
21	genomes
30	genomes
13	genomes
9	genomes
19	genomes
17	genomes
27	genomes
99	genomes
26	genomes
20	genomes
18	genomes
25	genomes
30	genomes
33	genomes
21	genomes
23	genomes
29	genomes
29	genomes
16	genomes
17	genomes
21	genomes
25	genomes
20	genomes
13	genomes
15	genomes
28	genomes
33	genomes
20	genomes
27	genomes
17	genomes
14	genomes
23	genomes
22	genomes
16	genomes
15	genomes
14	genomes
27	genomes
16	genomes
14	genomes
15	genomes
25	genomes
24	genomes
33	genomes
17	genomes
20	genomes
31	genomes
24	genomes
32	genomes
10	genomes
20	genomes
16	genomes
24	genomes
20	genomes
12	genomes
22	genomes
24	genomes
32	genomes
21	genomes
17	genomes
30	genomes
23	genomes
19	genomes
13	genomes
27	genomes
14	genomes
18	genomes
25	genomes
14	genomes
9	genomes
14	genomes
25	genomes
5	genomes
31	genomes
16	genomes
27	genomes
27	genomes
20	genomes
26	genomes
18	genomes
30	genomes
28	genomes
15	genomes
13	genomes
9	genomes
24	genomes
15	genomes
31	genomes
16	genomes
19	genomes
18	genomes
16	genomes
18	genomes
9	genomes
14	genomes
14	genomes
12	genomes
15	genomes
19	genomes
16	genomes
14	genomes
14	genomes
15	genomes
5	genomes
5	genomes
17	genomes
11	genomes
18	genomes
29	genomes
24	genomes
25	genomes
19	genomes
18	genomes
22	genomes
19	genomes
17	genomes
16	genomes
24	genomes
19	genomes
15	genomes
17	genomes
27	genomes
8	genomes
23	genomes
14	genomes
25	genomes
25	genomes
25	genomes
22	genomes
18	genomes
6	genomes
29	genomes
33	genomes
12	genomes
13	genomes
21	genomes
17	genomes
28	genomes
20	genomes
19	genomes
19	genomes
33	genomes
24	genomes
21	genomes
30	genomes
10	genomes
27	genomes
23	genomes
99	genomes
7	genomes
21	genomes
18	genomes
22	genomes
29	genomes
12	genomes
18	genomes
16	genomes
19	genomes
17	genomes
16	genomes
16	genomes
19	genomes
31	genomes
5	genomes
19	genomes
15	genomes
17	genomes
19	genomes
20	genomes
20	genomes
21	genomes
30	genomes
17	genomes
21	genomes
24	genomes
24	genomes
19	genomes
19	genomes
10	genomes
25	genomes
29	genomes
18	genomes
14	genomes
23	genomes
17	genomes
29	genomes
20	genomes
26	genomes
18	genomes
18	genomes
32	genomes
11	genomes
9	genomes
25	genomes
20	genomes
17	genomes
18	genomes
18	genomes
17	genomes
16	genomes
28	genomes
12	genomes
19	genomes
27	genomes
3	genomes
26	genomes
16	genomes
13	genomes
17	genomes
14	genomes
15	genomes
16	genomes
7	genomes
19	genomes
22	genomes
27	genomes
19	genomes
10	genomes
25	genomes
13	genomes
11	genomes
20	genomes
21	genomes
9	genomes
23	genomes
25	genomes
23	genomes
5	genomes
11	genomes
25	genomes
28	genomes
19	genomes
24	genomes
25	genomes
13	genomes
19	genomes
29	genomes
24	genomes
7	genomes
24	genomes
24	genomes
32	genomes
27	genomes
32	genomes
21	genomes
18	genomes
24	genomes
30	genomes
